GeneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
B9J08_05212	1113.47705690196	-1.39176035917461	0.296711858497425	-4.69061252294602	2.72388379463904e-06	0.0001313108304965
B9J08_03870	408.497889336553	-2.32123285107709	0.495659379197631	-4.68312100708087	2.82539603238006e-06	0.0001328940336741
B9J08_01235	51852.3939943793	-1.53179972883158	0.327119034653431	-4.68269824302477	2.83123151539043e-06	0.0001328940336741
B9J08_02251	953.147871200591	-1.26941882892743	0.271426697267873	-4.67683850448444	2.91331510189721e-06	0.00013555781835
B9J08_05119	9311.52785855582	-1.9149059012429	0.410215637576032	-4.66804706070714	3.04076259521648e-06	0.0001392183941776
B9J08_04867	157.586073965997	-1.0459003462155	0.224149795247753	-4.6660776337514	3.07003747205357e-06	0.0001392183941776
B9J08_01307	219.047362879528	-1.29979617912558	0.278521465874216	-4.66677200281784	3.05968518293083e-06	0.0001392183941776
B9J08_03222	4011.40176393573	-1.18696603384255	0.254679497380312	-4.66062657595893	3.15248220331874e-06	0.0001405744355829
B9J08_02030	2363.29487430083	-1.08524396074416	0.232829719277969	-4.66110582493346	3.14514947618554e-06	0.0001405744355829
B9J08_04587	346.862502738482	-1.97741487231221	0.424584502726972	-4.65729403596198	3.20392693167969e-06	0.0001416877108381
B9J08_02876	3147.80152521028	1.5466056003379	0.332711047476681	4.64849487886724	3.34365921592302e-06	0.0001454627680032
B9J08_05243	113.430189757204	1.41009687371593	0.304102001322322	4.63692072917779	3.53637956930162e-06	0.0001526061860913
B9J08_02170	4574.84129176064	-2.17057144692929	0.468498272663675	-4.63304044770191	3.60334102891279e-06	0.0001542518227656
B9J08_04434	597.025122881365	1.03028753923445	0.222570866234942	4.62903144810918	3.67379979456548e-06	0.0001558801300552
B9J08_01253	1188.1340154532	-1.43914630325576	0.310993311346079	-4.62757959978841	3.69964053766e-06	0.0001558801300552
B9J08_02137	23418.1769631619	-2.05547768665806	0.445071639970502	-4.61830748594606	3.8688267678961e-06	0.0001604813336047
B9J08_05224	3192.58914758063	1.55641861055864	0.337387358356715	4.61315035079961	3.96611190300128e-06	0.0001632512676381
B9J08_03238	1481.34149630608	-1.44866888624536	0.314273117112935	-4.60958576270709	4.03472069993595e-06	0.0001648075608042
B9J08_00009	853.55493668606	-1.6943085198094	0.368920158982839	-4.5926157152291	4.37724653606441e-06	0.0001774442895036
B9J08_04930	174.034041614972	-2.2599662471688	0.495119247355313	-4.56448877566453	5.00712988130533e-06	0.0001984677925545
B9J08_03573	4433.36532781756	-1.65875436699529	0.364875628020354	-4.54608156756022	5.46538628188628e-06	0.0002134692116377
B9J08_03322	900.405363616619	-1.01708880539681	0.225042669646551	-4.51953759255625	6.1974842933567e-06	0.0002403096989402
B9J08_03085	1218.43586390273	-2.03318230422716	0.450424230989318	-4.51392745847943	6.36379918229394e-06	0.0002449833771543
B9J08_01602	183.693109978351	-1.05940007073273	0.235030496871505	-4.5075004513645	6.55957912442198e-06	0.0002505799754577
B9J08_00331	8316.31084193533	-2.221312660722	0.493634138227932	-4.49991702092599	6.79799937684544e-06	0.0002561696807429
B9J08_03100	6790.31941657271	-1.4026385217694	0.312255342356304	-4.49196004521484	7.05706651174856e-06	0.0002640724678627
B9J08_02945	4661.82403104586	-2.04956675673229	0.457194323373755	-4.48292258225783	7.36276462206591e-06	0.00026801464961
B9J08_00262	460.403516745545	1.56391266280174	0.34885986990985	4.48292508738789	7.36267815558744e-06	0.00026801464961
B9J08_00019	586.670787881471	2.88641182752832	0.645193343874558	4.47371606500874	7.68718046182051e-06	0.0002766607255124
